routeId,routeName,edition,host,owner,projectId,projectUrl,projectDownloadsAtCheck,packageType,fileName,recordId,recordUrl,minecraftVersion,loader,publishedDate,fileSizeMb,fileDownloadsAtCheck,status,recommendedUse,caution,localGuideUrl
pntmc-8327253,PnTMC Verity Bedrock file 8327253,Bedrock,CurseForge,PnTMC,1575941,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition,7383790,mcaddon,ThatMob's Verity 2.1.0 by PnTMC [Add-on] - V26.30.mcaddon,8327253,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition/files/8327253,26.30,,2026-06-27,35.4,2900000,previous-still-available,Use only when the player's Bedrock build or old tutorial names this exact record.,"This is an older 2.1.0 Bedrock row, not a Java JAR.",https://veritymodchecker.online/pntmc-verity-2-1-0/
bedrock-pocket-edition-current,Verity Pocket Edition separate Bedrock listing,Bedrock,CurseForge,vexi1111_,1596246,https://www.curseforge.com/minecraft-bedrock/addons/verity-pocket-edition-be,57039,mcaddon,Verity (1.0.2) — (26.3).mcaddon,8406293,https://www.curseforge.com/minecraft-bedrock/addons/verity-pocket-edition-be/files/8406293,26.30,,2026-07-10,18.6,49000,similar-pocket-edition-route,Use when the page names Verity Pocket Edition (Be) or Project ID 1596246.,Do not confuse this with Verity BE or PnTMC Bedrock.,https://veritymodchecker.online/pocket-edition/
modpack-1585389,VERITY.exe,Modpack,CurseForge,SkyeTheFox,1585389,https://www.curseforge.com/minecraft/modpacks/verity-exe,130082,modpack,VERITY.exe.zip,8526843,https://www.curseforge.com/minecraft/modpacks/verity-exe/files/8526843,1.20.1,Forge,2026-07-28,,1100,current-modpack-route,Use only when the player intentionally wants the VERITY.exe modpack profile.,"Current CurseForge project route for VERITY.exe. Main file is Forge Port 2.1.2 for Minecraft 1.20.1, uploaded July 28, 2026; the older visible NeoForge 1.3.3 file is record 8385443, and the project description says voice chat and direct chat are supported while Groq issues are outside the pack author's control.",https://veritymodchecker.online/verity-exe/
modpack-L5qUPsXS,VERITY.exe Remastered,Modpack,Modrinth,ScootBuckley,L5qUPsXS,https://modrinth.com/modpack/verity.exe-remastered,3889,mrpack,VERITY.exe Remastered 1.0.0.mrpack,4N4vQrK7,https://modrinth.com/modpack/verity.exe-remastered/version/4N4vQrK7,1.20.1,Forge,2026-07-01,0.01,3889,separate-modrinth-remastered-modpack-route,Use only when the player intentionally selected the Modrinth VERITY.exe Remastered MRPACK route.,"Separate Modrinth remastered modpack route inspired by the original VERITY.exe modpack. Treat it as its own MRPACK profile by ScootBuckley, not as the CurseForge VERITY.exe Project ID 1585389 route, not as Verity JE, and not as a Bedrock add-on.",https://veritymodchecker.online/verity-exe/
modpack-1583377,Verity Pack,Modpack,CurseForge,Firyx,1583377,https://www.curseforge.com/minecraft/modpacks/verity-beta,84018,modpack,Verity™.zip,,https://www.curseforge.com/minecraft/modpacks/verity-beta,1.20.1,Forge,,,,modpack-does-not-contain-standalone-file,Use only when the player intentionally selected this separate modpack result.,The public source text says this modpack does not contain the Verity mod and that the player needs to add it separately.,https://veritymodchecker.online/verity-pack/
modpack-1587394,VerityPack,Modpack,CurseForge,Sarelsana,1587394,https://www.curseforge.com/minecraft/modpacks/veritypack,121595,modpack,VerityPack-1.20.1.zip,,https://www.curseforge.com/minecraft/modpacks/veritypack,1.20.1,Forge,,,,separate-modpack-route,Use only when the player intentionally selected this separate modpack result.,A separate CurseForge modpack route and not the same artifact as Verity JE or Bedrock add-ons.,https://veritymodchecker.online/verity-pack/
modpack-1596649,VerityPack Realistic,Modpack,CurseForge,felixdevytofficial,1596649,https://www.curseforge.com/minecraft/modpacks/veritypack-realistic,28605,modpack,VerityPack Realistic-1.0.3.zip,,https://www.curseforge.com/minecraft/modpacks/veritypack-realistic,1.20.1,Forge,2026-07-10,,,separate-realistic-modpack-route,Use only when the player intentionally selected this separate modpack result.,A separate realistic CurseForge modpack route by felixdevytofficial; not proof that the standalone Verity JE file is installed.,https://veritymodchecker.online/verity-pack/
modpack-1583260,Survive from VERITY or FALSITY,Modpack,CurseForge,kanthbuymi,1583260,https://www.curseforge.com/minecraft/modpacks/survive-from-verity-or-falsity,97742,modpack,VERITY 1-1.6.1.zip,,https://www.curseforge.com/minecraft/modpacks/survive-from-verity-or-falsity,1.20.1,Forge,2026-07-09,,,separate-verity-falsity-modpack-route,Use only when the player intentionally selected this separate modpack result.,"Separate CurseForge modpack route for users searching Verity or Falsity together. Treat it as a profile route, not as the standalone FALSITY [SMILEY] mod, Verity JE Java file, Verity BE, or PnTMC Bedrock file.",https://veritymodchecker.online/verity-pack/
lookalike-eZW2ZX0U,Verity Dweller,Similar-name project,Modrinth,Modrinth team zaW97nsy,eZW2ZX0U,https://modrinth.com/mod/verity-dweller,4736,jar,verity-1.0.0.jar,COqUGsQr,https://modrinth.com/mod/verity-dweller/version/COqUGsQr,26.2,Fabric,2026-07-27,0.13,616,similar-named-fabric-mod-not-verity-je,Use only when the player intentionally selected this similar-name result and needs to know whether it is the same as the current Verity Mod.,"A separate Fabric mob project that adds a fast spawning Verity-style enemy. It is not the same route as Verity JE Project ID on1Y0osD, CurseForge Project ID 1591438, Bedrock Verity BE, or PnTMC.",https://veritymodchecker.online/verity-dweller/
lookalike-mJcQB7OR,Horrorland - With Verity!,Modpack,Modrinth,Flashh,mJcQB7OR,https://modrinth.com/modpack/horrorland-modpack,88242,mrpack,Horrorland with Verity - MC 1.20.1 9.3.0.mrpack,L0WhiLev,https://modrinth.com/modpack/horrorland-modpack/version/L0WhiLev,1.20.1,Forge,2026-07-27,226,8278,separate-modrinth-modpack-with-verity,Use only when the player intentionally selected this similar-name result and needs to know whether it is the same as the current Verity Mod.,"A separate Modrinth modpack route that includes Verity wording in the title. Use it only when the player intentionally wants that modpack profile, not as a replacement for the standalone Verity Mod Java or Bedrock files.",https://veritymodchecker.online/verity-dweller/
lookalike-DYiZP3fM,Verity,Similar-name project,Modrinth,AstroGrove,DYiZP3fM,https://modrinth.com/plugin/verity,33261,jar,Verity-1.7.0.jar,QQ8nARZM,https://modrinth.com/plugin/verity/version/QQ8nARZM,1.21.x,Paper,2026-01-20,0.17,33261,unrelated-paper-server-plugin-route,Use only when the player intentionally selected this similar-name result and needs to know whether it is the same as the current Verity Mod.,"A Paper server management plugin with the same word in the title. It is not the Minecraft horror Verity Mod download, not Verity JE, and not a Bedrock add-on.",https://veritymodchecker.online/verity-dweller/
